index,ticker,year,month,open,close,high,low,SMA_10,SMA_20,EMA_10,EMA_20
0,AAPL,2018,1,170.16000366210938,167.42999267578125,180.10000610351562,164.6999969482422,,,,
1,AAPL,2018,2,167.1699981689453,178.1199951171875,180.6199951171875,150.24000549316406,,,,
2,AAPL,2018,3,178.5399932861328,167.77999877929688,183.5,164.94000244140625,,,,
3,AAPL,2018,4,166.63999938964844,165.25999450683594,178.94000244140625,160.6300048828125,,,,
4,AAPL,2018,5,166.41000366210938,186.8699951171875,190.3699951171875,165.27000427246094,,,,
5,AAPL,2018,6,187.9900054931641,185.1100006103516,194.1999969482422,180.72999572753903,,,,
6,AAPL,2018,7,183.82000732421875,190.2899932861328,195.9600067138672,183.4199981689453,,,,
7,AAPL,2018,8,199.1300048828125,227.6300048828125,228.8699951171875,197.30999755859372,,,,
8,AAPL,2018,9,228.41000366210932,225.7400054931641,229.6699981689453,215.3000030517578,,,,
9,AAPL,2018,10,227.9499969482422,218.8600006103516,233.47000122070312,206.08999633789065,191.30899810791016,,191.30899810791016,
10,AAPL,2018,11,219.0500030517578,178.5800018310547,222.3600006103516,170.25999450683594,192.4239990234375,,188.99463514848188,
11,AAPL,2018,12,184.4600067138672,157.74000549316406,184.94000244140625,146.58999633789062,190.38600006103516,,183.31197521115138,
12,AAPL,2019,1,154.88999938964844,166.44000244140625,169.0,142.0,190.2520004272461,,180.24434379847045,
13,AAPL,2019,2,166.9600067138672,173.14999389648438,175.8699951171875,165.92999267578125,191.04100036621094,,178.95446199810934,
14,AAPL,2019,3,174.27999877929688,189.9499969482422,197.69000244140625,169.5,191.3490005493164,,180.95365017086075,
15,AAPL,2019,4,191.63999938964844,200.6699981689453,208.47999572753903,188.3800048828125,192.90500030517578,,184.53844071596703,
16,AAPL,2019,5,209.8800048828125,175.07000732421875,215.30999755859372,174.99000549316406,191.38300170898438,,182.8169073720128,
17,AAPL,2019,6,175.60000610351562,197.9199981689453,201.57000732421875,170.27000427246094,188.41200103759766,,185.56292388054598,
18,AAPL,2019,7,203.1699981689453,213.0399932861328,221.3699951171875,198.41000366210932,187.14199981689453,,190.55875468156177,
19,AAPL,2019,8,213.8999938964844,208.7400054931641,218.02999877929688,192.5800018310547,186.13000030517577,188.71949920654296,193.86443664730766,188.71949920654296
20,AAPL,2019,9,206.42999267578125,223.97000122070312,226.4199981689453,204.22000122070312,190.66900024414062,191.54649963378907,199.3381756606523,192.0766898745582
21,AAPL,2019,10,225.07000732421875,248.7599945068359,249.75,215.1300048828125,199.7709991455078,195.0784996032715,208.32396090541295,197.47509983953705
22,AAPL,2019,11,249.5399932861328,267.25,268.0,249.16000366210932,209.85199890136718,200.05199966430663,219.03778619533787,204.1203284262478
23,AAPL,2019,12,267.2699890136719,293.6499938964844,293.9700012207031,256.2900085449219,221.9019989013672,206.47149963378905,232.60364214100088,212.646963232937
